Annual Total,"Coal Electric Power CO2 Emissions
(Million Metric Tons)","Coal Electricity Net Generation
(Million kWh)"
1973,811.791,847651.47
1974,800.131,828432.921
1975,823.74,852786.222
1976,911.346,944390.993
1977,962.143,985218.596
1978,959.916,975742.083
1979,1055.704,1075037.091
1980,1136.594,1161562.368
1981,1180.367,1203203.232
1982,1181.956,1192004.204
1983,1241.778,1259424.279
1984,1317.614,1341680.752
1985,1367.401,1402128.125
1986,1357.485,1385831.452
1987,1426.753,1463781.289
1988,1491.807,1540652.774
1989,1518.844,1583779.139
1990,1547.564,1594011.479
1991,1548.18,1590622.748
1992,1569.566,1621206.039
1993,1632.52,1690070.232
1994,1638.781,1690693.864
1995,1660.744,1709426.468
1996,1752.41,1795195.593
1997,1797.045,1845015.736
1998,1828.184,1873515.69
1999,1836.415,1881087.224
2000,1927.376,1966264.596
2001,1869.826,1903955.942
2002,1889.879,1933130.354
2003,1930.971,1973736.752
2004,1943.069,1978300.549
2005,1983.829,2012873.046
2006,1953.699,1990511.135
2007,1987.288,2016455.584
2008,1959.387,1985801.247
2009,1740.874,1755904.253
2010,1827.618,1847290.279
2011,1722.711,1733430.005
2012,1511.237,1514042.945
2013,1571.349,1581114.716
2014,1569.137,1581710.35
2015,1352.967,1356057.298
